WORD,NUMBER OF HITS,NUMBER OF ANSWERS
died in,0,3
in the,0,3
the same,0,3
same place,0,3
place they,0,3
they were,0,3
were born,0,3
born in,0,3
,,
,,
list the,0,2
the children,0,2
children of,0,2
of margaret,0,2
margaret thatcher,2,2
,,
,,
who was,0,2
was called,0,2
called scarface,1,2
,,
,,
was margaret,0,3
margaret thatcher,2,3
thatcher a,0,3
a chemist,1,3
,,
,,
was dutch,0,2
dutch schultz,1,2
schultz a,0,2
a jew,0,2
,,
,,
give me,0,4
me all,0,4
all books,0,4
books by,0,4
by william,0,4
william goldman,1,4
goldman with,0,4
with more,0,4
more than,0,4
than 300,0,4
300 pages,0,4
,,
,,
which books,0,5
books by,0,5
by kerouac,2,5
kerouac were,2,5
were published,0,5
published by,0,5
by viking,0,5
viking press,1,5
,,
,,
give me,0,1
me a,0,1
a list,0,1
list of,0,1
of all,0,1
all american,0,1
american inventions,0,1
,,
,,
how high,0,2
high is,0,2
is the,0,2
the mount,0,2
mount everest,2,2
,,
,,
who created,0,2
created the,0,2
the comic,0,2
comic captain,0,2
captain america,2,2
,,
,,
how many,0,3
many people,0,3
people live,0,3
live in,0,3
in the,0,3
the capital,0,3
capital of,0,3
of australia,3,3
,,
,,
what is,0,2
is the,0,2
the largest,0,2
largest city,0,2
city in,0,2
in australia,3,2
,,
,,
who composed,0,2
composed the,0,2
the music,0,2
music for,0,2
for harold,0,2
harold and,0,2
and maude,0,2
,,
,,
which films,0,4
films starring,0,4
starring clint,0,4
clint eastwood,4,4
eastwood did,2,4
did he,0,4
he direct,0,4
direct himself,0,4
,,
,,
in which,0,3
which city,0,3
city was,0,3
was the,0,3
the former,0,3
former dutch,0,3
dutch queen,0,3
queen juliana,0,3
juliana buried,0,3
,,
,,
where is,0,2
is the,0,2
the residence,0,2
residence of,0,2
of the,0,2
the prime,0,2
prime minister,0,2
minister of,0,2
of spain,0,2
,,
,,
which u.s.,0,2
u.s. state,0,2
state has,0,2
has the,0,2
the abbreviation,0,2
abbreviation mn,0,2
,,
,,
show me,0,4
me all,0,4
all songs,0,4
songs from,0,4
from bruce,0,4
bruce springsteen,2,4
springsteen released,1,4
released between,0,4
between 1980,0,4
1980 and,0,4
and 1990,0,4
,,
,,
which movies,0,7
movies did,0,7
did sam,0,7
sam raimi,1,7
raimi direct,1,7
direct after,0,7
after army,0,7
army of,0,7
of darkness,0,7
,,
,,
what is,0,3
is the,0,3
the founding,0,3
founding year,0,3
year of,0,3
of the,0,3
the brewery,0,3
brewery that,0,3
that produces,0,3
produces pilsner,1,3
pilsner urquell,1,3
,,
,,
who wrote,0,3
wrote the,0,3
the lyrics,0,3
lyrics for,0,3
for the,0,3
the polish,0,3
polish national,0,3
national anthem,0,3
,,
,,
give me,0,3
me all,0,3
all b-sides,0,3
b-sides of,0,3
of the,0,3
the ramones,1,3
,,
,,
who painted,0,2
painted the,0,2
the storm,0,2
storm on,0,2
on the,0,2
the sea,0,2
sea of,0,2
of galilee,0,2
,,
,,
which country,0,3
country does,0,3
does the,0,3
the creator,0,3
creator of,0,3
of miffy,1,3
miffy come,1,3
come from,0,3
,,
,,
for which,0,5
which label,0,5
label did,0,5
did elvis,0,5
elvis record,0,5
record his,0,5
his first,0,5
first album,0,5
,,
,,
who produces,0,2
produces orangina,1,2
,,
,,
