WORD,NUMBER OF HITS,NUMBER OF ANSWERS
sam,0,7
raimi,1,7
direct,0,7
after,0,7
army,0,7
of,0,7
darkness,0,7
,,
,,
what,0,3
is,0,3
the,0,3
founding,0,3
year,0,3
of,0,3
the,0,3
brewery,0,3
that,0,3
produces,0,3
pilsner,1,3
urquell,1,3
,,
,,
who,0,3
wrote,0,3
the,0,3
lyrics,0,3
for,0,3
the,0,3
polish,0,3
national,0,3
anthem,0,3
,,
,,
give,0,3
me,0,3
all,0,3
b-sides,0,3
of,0,3
the,0,3
ramones,1,3
,,
,,
who,0,2
painted,0,2
the,0,2
storm,0,2
on,0,2
the,0,2
sea,0,2
of,0,2
galilee,0,2
,,
,,
which,0,3
country,0,3
does,0,3
the,0,3
creator,0,3
of,0,3
miffy,1,3
come,0,3
from,0,3
,,
,,
for,0,5
which,0,5
label,0,5
did,0,5
elvis,0,5
record,0,5
his,0,5
first,0,5
album,0,5
,,
,,
who,0,2
produces,0,2
orangina,1,2
,,
,,
